//,This is the master copy of the downlink structures.  A program called FoxStruct.py will turn this into a structure for the flight software.,,,,,,,,,,,,,,,
//,A different Python script can also be used to make tables for FoxTelem. My intent is that this spreadsheet can also be included,,,,,,,,,,,,,,,
//,into a formal document defining the downlink more completely.,,,,,,,,,,,,,,,
//,The format must be as follows: 1) A comment (// in column A) can appear anywhere.  2) A structure must start with a column A that has,,,,,,,,,,,,,,,
//,"""Structure:name,file:filename"".  The structure must end with ""END"". For flight software, the yellow highlighted columns are used.",,,,,,,,,,,,,,,
Version: 6.7,,12/08/20,,,,,,,,,,,,,,
"Structure: header_t, file:headerDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Memory CRC Error,WodCRCError,8,,,STATUS_BIT,-,CRC Error for VU Radiataion Payload,528,66,33,16.5,WOD,13,3,0
,NONE,pad233,8,,,0,-,TBD,536,67,33.5,16.75,NONE,0,0,0
END,,,,,,,,Totals:,544,68,34,17,NONE,0,0,0
,,,,,,,,,,,,,,,,
"Structure:ragWodSpecific_t,file:ragWodSpecificDownlink.h ",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,WOD Uptime,WODTimestampUptime,32,Unsigned,,1,s,Time Whole Orbit Data was collected,672,84,42,21,WOD,13,2,0
,WOD Reset Count,WODTimestampReset,16,Unsigned,uint16_t,1,-,Time Whole Orbit Data was collected,704,88,44,22,WOD,13,1,0
,NONE,WodCRCError,8,,,0,-,CRC Error for ADAC WOD,720,90,45,22.5,WOD,13,3,0
,NONE,pad241,8,,,0,-,TBD,728,91,45.5,22.75,NONE,0,0,0
END,,,,,,,,Totals:,736,92,46,23,,,,
"Structure:infrequentDownlink_t,file:infrequentDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Secs Since Launch,missionUptime,32,Unsigned,,INT,-,Continuous seconds countup from start,0,0,0,0,General Info,1,12,0
,Time In Epoch,secsInEpoch,32,Unsigned,,INT,secs,Seconds within current Epoch,32,4,2,1,General Info,1,4,0
#ifdef RTIHU,,,,,,,,,,,,,,,,
,UTCHours,UTCHours,5,Unsigned,,0,-,x,32,4,2,1,General Info,1,5,0
,UTCMinutes,UTCMinutes,6,Unsigned,,0,-,x,37,4.625,2.3125,1.15625,General Info,1,6,0
,UTCSeconds,UTCSeconds,6,Unsigned,,0,-,x,43,5.375,2.6875,1.34375,General Info,1,7,0
,UTCDay,UTCDay,5,Unsigned,,0,-,x,49,6.125,3.0625,1.53125,General Info,1,8,0
,UTCMonth,UTCMonth,4,Unsigned,,0,-,x,54,6.75,3.375,1.6875,General Info,1,9,0
,UTCYear,UTCYear,5,Unsigned,,0,-,Based on 2020–5 bits=32 years,58,7.25,3.625,1.8125,General Info,1,10,0
,UTCValid,UTCValid,1,Unsigned,,STATUS_BOOLEAN,-,x,63,7.875,3.9375,1.96875,General Info,1,11,0
#endif,,,,,,,,,,,,,,,,
#ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,UTCValid,UTCValid,1,Unsigned,,STATUS_BOOLEAN,-,x,32,4,2,1,General Info,1,11,0
,UTCYear,UTCYear,5,Unsigned,,0,-,Based on 2020–5 bits=32 years,33,4.125,2.0625,1.03125,General Info,1,10,0
,UTCMonth,UTCMonth,4,Unsigned,,0,-,x,38,4.75,2.375,1.1875,General Info,1,9,0
,UTCDay,UTCDay,5,Unsigned,,0,-,x,42,5.25,2.625,1.3125,General Info,1,8,0
,UTCSeconds,UTCSeconds,6,Unsigned,,0,-,x,47,5.875,2.9375,1.46875,General Info,1,7,0
,UTCMinutes,UTCMinutes,6,Unsigned,,0,-,x,53,6.625,3.3125,1.65625,General Info,1,6,0
,UTCHours,UTCHours,5,Unsigned,,0,-,x,53,6.625,3.3125,1.65625,General Info,1,5,0
#endif,,,,,,,,,,,,,,,,
,EnterAutosafe,EnterAutosafe,8,Unsigned,,psoc_8bit_volts,-,x,64,8,4,2,General Info,1,13,0
,ExitAutosafe,ExitAutosafe,8,Unsigned,,psoc_8bit_volts,-,x,72,9,4.5,2.25,General Info,1,14,0
,Fill to 32-bits,pad266,16,Unsigned,,0,-,x,80,10,5,2.5,NONE,0,0,0
END,,,,,,,,Totals:,96,12,6,3,,,,
"Structure:legacyErrors_t,file:legacyErrorsDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
ifdef RTIHU,,,,,,,-,,,,,,Legacy  Errors,,,
,LIHU: WDTasks Ok,LegWdReports,9,Unsigned,,0,-,x,96,12,6,3,IHU Reset Info,2,1,0
,Cause of Reset,LegErrorCode,5,Unsigned,,0,-,x,105,13.125,6.5625,3.28125,IHU Reset Info,2,2,0
,Task executing at reset,LegTaskNumber,4,Unsigned,,0,-,x,110,13.75,6.875,3.4375,IHU Reset Info,2,3,0
,Previous task before reset,LegPreviousTask,4,Unsigned,,0,-,x,114,14.25,7.125,3.5625,IHU Reset Info,2,4,0
,Resets in a row that have been too soon,LegEarlyResetCount,3,Unsigned,,0,-,x,118,14.75,7.375,3.6875,IHU Reset Info,2,5,0
,Was this reset still early in boot,LegWasStillEarlyInBoot,1,Unsigned,,0,-,x,121,15.125,7.5625,3.78125,IHU Reset Info,2,6,0
,LIHU Data Valid,LegValid,1,Unsigned,,STATUS_BOOLEAN,-,x,122,,,,General Info,1,1,0
,pad to 32 bits,LegFiller1,5,Unsigned,,0,-,x,123,15.375,7.6875,3.84375,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,pad to 32 bits,LegFiller1,5,Unsigned,,0,-,x,96,12,6,3,NONE,0,0,0
,LIHU Data Valid,LegValid,1,Unsigned,,STATUS_BOOLEAN,-,x,101,12.625,6.3125,3.15625,General Info,1,1,0
,Was this reset still early in boot,LegWasStillEarlyInBoot,1,Unsigned,,STATUS_BOOLEAN,-,x,102,12.75,6.375,3.1875,IHU Reset Info,2,7,0
,Resets in a row that have been too soon,LegEarlyResetCount,3,Unsigned,,INT,-,x,103,12.875,6.4375,3.21875,IHU Reset Info,2,6,0
,Previous task before reset,LegPreviousTask,4,Unsigned,,GOLF_TASK_NAME,-,x,106,13.25,6.625,3.3125,IHU Reset Info,2,5,0
,Task executing at reset,LegTaskNumber,4,Unsigned,,GOLF_TASK_NAME,-,x,110,13.75,6.875,3.4375,IHU Reset Info,2,4,0
,Cause of Reset,LegErrorCode,5,Unsigned,,GOLF_LIHU_ERR,-,x,114,14.25,7.125,3.5625,IHU Reset Info,2,2,0
,LIHU: WD Tasks Ok,LegWdReports,9,Unsigned,,INT,-,x,119,14.875,7.4375,3.71875,IHU Reset Info,2,1,0
endif,,,,,,,,,,,,,,,,
,I2C1 Errors,LegI2C1Error,8,Unsigned,,INT,-,x,128,16,8,4,Legacy  Errors,3,1,0
,I2C2 Errors,LegI2C2Error,8,Unsigned,,INT,-,x,136,17,8.5,4.25,Legacy  Errors,3,2,0
,I2C1 Resets,LegI2C1Reset,8,Unsigned,,INT,-,x,144,18,9,4.5,Legacy  Errors,3,3,0
,I2C2 Resets,LegI2C2Reset,8,Unsigned,,INT,-,x,152,19,9.5,4.75,Legacy  Errors,3,4,0
,SPI Retries,LegSPIRetries,8,Unsigned,,INT,-,x,160,20,10,5,Legacy  Errors,3,5,0
,MRAM CRC Errors,LegMramCRC,8,Unsigned,,INT,-,x,168,21,10.5,5.25,Legacy  Errors,3,6,0
,MRAM Read Error,LegMramRead,8,Unsigned,,INT,-,x,176,22,11,5.5,Legacy  Errors,3,7,0
,MRAM Write Error,LegMramWrite,8,Unsigned,,INT,-,x,184,23,11.5,5.75,Legacy  Errors,3,8,0
,ICRCmdFailCRC,ICRCmdFailCRC,8,Unsigned,,INT,-,x,192,24,12,6,Legacy  Errors,3,9,0
,ICRCmdFailTime,ICRCmdFailTime,8,Unsigned,,INT,-,x,200,25,12.5,6.25,Legacy  Errors,3,10,0
,ICRCmdFailAuthenticate,ICRCmdFailAuthenticate,8,Unsigned,,INT,-,x,208,26,13,6.5,Legacy  Errors,3,11,0
,ICRCmdFailCommand,ICRCmdFailCommand,8,Unsigned,,INT,-,x,216,27,13.5,6.75,Legacy  Errors,3,12,0
,ICRCmdFailNamespace,ICRCmdFailNamespace,8,Unsigned,,INT,-,x,224,28,14,7,Legacy  Errors,3,13,0
,LIHU Version Number,LegSWVersion,16,Unsigned,uint8_t,INT,-,x,232,29,14.5,7.25,General Info,1,15,0
,Error Data,LegErrorData,8,Unsigned,,INT,-,x,248,31,15.5,7.75,IHU Reset Info,2,3,0
END,,,,,,,,,256,32,16,8,,,,
"Structure:rt1Errors_t,file:rt1ErrorsDownlink.h",,,,,,,,,,,,,Module,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,,Module_num,Module_Line,Line_Type
ifdef RTIHU,,,,,,,-,,,,,,IHU Reset Info,,,
,Watchdog Tasks Ok,wdReports,9,Unsigned,,0,-,x,256,32,16,8,IHU Reset Info,2,1,0
,Cause of Reset,errorCode,5,Unsigned,,0,-,x,265,33.125,16.5625,8.28125,IHU Reset Info,2,2,0
,Task executing at reset,taskNumber,4,Unsigned,,0,-,x,270,33.75,16.875,8.4375,IHU Reset Info,2,3,0
,Previous task before reset,previousTask,4,Unsigned,,0,-,x,274,34.25,17.125,8.5625,IHU Reset Info,2,4,0
,Resets in a row that have been too soon,earlyResetCount,3,Unsigned,,0,-,x,278,34.75,17.375,8.6875,IHU Reset Info,2,5,0
,Was this reset still early in boot,wasStillEarlyInBoot,1,Unsigned,,STATUS_BOOLEAN,-,x,281,35.125,17.5625,8.78125,IHU Reset Info,2,6,0
,RTIHU1 Data Valid,valid,1,Unsigned,,STATUS_BOOLEAN,-,x,282,35.25,17.625,8.8125,General Info,1,1,0
,pad to 32 bits,pad316,5,Unsigned,,0,-,x,283,35.375,17.6875,8.84375,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,pad to 32 bits,pad319,5,Unsigned,,0,-,x,256,32,16,8,NONE,0,0,0
,RTIHU1 Data Valid,valid,1,Unsigned,,STATUS_BOOLEAN,-,x,261,32.625,16.3125,8.15625,General Info,1,2,0
,Was this reset still early in boot,wasStillEarlyInBoot,1,Unsigned,,STATUS_BOOLEAN,-,x,262,32.75,16.375,8.1875,IHU Reset Info,2,14,0
,Resets in a row that have been too soon,earlyResetCount,3,Unsigned,,INT,-,x,263,32.875,16.4375,8.21875,IHU Reset Info,2,13,0
,Previous task before reset,previousTask,4,Unsigned,,GOLF_TASK_NAME,-,x,266,33.25,16.625,8.3125,IHU Reset Info,2,12,0
,Task executing at reset,taskNumber,4,Unsigned,,GOLF_TASK_NAME,-,x,270,33.75,16.875,8.4375,IHU Reset Info,2,11,0
,Cause of Reset,errorCode,5,Unsigned,,GOLF_RTIHU_ERR,-,x,274,34.25,17.125,8.5625,IHU Reset Info,2,9,0
,RTIHU1: WD Tasks Ok,wdReports,9,Unsigned,,INT,-,x,279,34.875,17.4375,8.71875,IHU Reset Info,2,8,0
endif,,,,,,,,,,,,,,,,
,Error Data,errorData,32,Unsigned,,INT,-,x,288,36,18,9,IHU Reset Info,2,10,0
,Primary SRAM Corrected Addr 1,RAMCorAddr1,32,unsigned,,INT,-,x,320,40,20,10,Primary RT Errors,4,1,0
,Primary SRAM Corrected Addr 2,RAMCorAddr2,32,Unsigned,,INT,-,x,352,44,22,11,Primary RT Errors,4,2,0
,Primary Flash Corrected Addr 1,ROMCorAddr1,32,unsigned,,INT,-,x,384,48,24,12,Primary RT Errors,4,3,0
,Primary Flash Corrected Addr 2,ROMCorAddr2,32,Unsigned,,INT,-,x,416,52,26,13,Primary RT Errors,4,4,0
,DCT1CmdFailCRC,DCTCmdFailCRCCnt,8,Unsigned,,INT,-,x,448,56,28,14,Primary RT Errors,4,5,0
,DCT1CmdFailTime,DCTCmdFailTimeCnt,8,Unsigned,,INT,-,x,456,57,28.5,14.25,Primary RT Errors,4,6,0
,DCT1CmdFailAuthenticate,DCTCmdFailAuthenticateCnt,8,Unsigned,,INT,-,x,464,58,29,14.5,Primary RT Errors,4,7,0
,DCT1CmdFailCommand,DCTCmdFailCommandCnt,8,Unsigned,,INT,-,x,472,59,29.5,14.75,Primary RT Errors,4,8,0
,DCT1CmdFailNamespace,DCTCmdFailNamespaceCnt,8,Unsigned,,INT,-,x,480,60,30,15,Primary RT Errors,4,9,0
,RT1I2C1Error,I2C1ErrorCnt,8,Unsigned,,INT,-,x,488,61,30.5,15.25,Primary RT Errors,4,10,0
,RT1I2C2Error,I2C2ErrorCnt,8,Unsigned,,INT,-,x,496,62,31,15.5,Primary RT Errors,4,11,0
,RT1I2C1Reset,I2C1ResetCnt,8,Unsigned,,INT,-,x,504,63,31.5,15.75,Primary RT Errors,4,12,0
,RT1I2C2Reset,I2C2ResetCnt,8,Unsigned,,INT,-,x,512,64,32,16,Primary RT Errors,4,13,0
,RT1 I2c1 Retry Count,I2C1RetryCnt,8,Unsigned,,INT,-,x,520,65,32.5,16.25,Primary RT Errors,4,14,0
,RT1 I2c2 Retry Count,I2C2RetryCnt,8,Unsigned,,INT,-,x,528,66,33,16.5,Primary RT Errors,4,15,0
,RT1SPIRetries,SPIRetryCnt,8,Unsigned,,INT,-,x,536,67,33.5,16.75,Primary RT Errors,4,16,0
,RT1 MRAM CRC Fail count,MramCRCCnt,8,Unsigned,,INT,-,x,544,68,34,17,Primary RT Errors,4,17,0
,RT1 MRAM Read Error Count,MramRdErrorCnt,8,Unsigned,,INT,-,x,552,69,34.5,17.25,Primary RT Errors,4,18,0
,RT1 MRAM Write Error Count,MramWtErrorCnt,8,Unsigned,,INT,-,x,560,70,35,17.5,Primary RT Errors,4,19,0
,RT1FlashCorrectable Count,FlashCorCnt,8,Unsigned,,INT,-,x,568,71,35.5,17.75,Primary RT Errors,4,20,0
,RT1 Ram Even Bank Correctable Count,RamEvenCorCnt,8,Unsigned,,INT,-,x,576,72,36,18,Primary RT Errors,4,21,0
,RT1 Ram Odd Bank Correctable Count,RamOddCorCnt,8,Unsigned,,INT,-,x,584,73,36.5,18.25,Primary RT Errors,4,22,0
,RT1PLLSlip,PLLSlipCnt,8,Unsigned,,INT,-,x,592,74,37,18.5,Primary RT Errors,4,23,0
,RT1ClockMonitorFail,ClockMonitorFailCnt,8,Unsigned,,INT,-,x,600,75,37.5,18.75,Primary RT Errors,4,24,0
,RT1VIMRamParity,VIMRamParityCnt,8,Unsigned,,INT,-,x,608,76,38,19,Primary RT Errors,4,25,0
,RT1CAN1RamParity,CAN1RamParityCnt,8,Unsigned,,INT,-,x,616,77,38.5,19.25,Primary RT Errors,4,26,0
,RT1CAN2RamParity,CAN2RamParityCnt,8,Unsigned,,INT,-,x,624,78,39,19.5,Primary RT Errors,4,27,0
,RT1DCC1Error,DCC1ErrorCnt,8,Unsigned,,INT,-,x,632,79,39.5,19.75,Primary RT Errors,4,28,0
,RT1DCC2Error,DCC2ErrorCnt,8,Unsigned,,INT,-,x,640,80,40,20,Primary RT Errors,4,29,0
,RT1N2HET2RamParity,N2HET2RamParityCnt,8,Unsigned,,INT,-,x,648,81,40.5,20.25,Primary RT Errors,4,30,0
,RT1IOMMAccvio,IOMMAccvioCnt,8,Unsigned,,INT,-,x,656,82,41,20.5,Primary RT Errors,4,31,0
,Non-fatal error count,nonFatalCnt,8,Unsigned,,INT,-,x,664,83,41.5,20.75,Primary RT Errors,4,32,0
,RTIHU1 Version Number,SWVersion,16,Unsigned,uint8_t,INT,-,x,672,84,42,21,General Info,1,16,0
,Fill to 32-bits,pad362,16,Unisgned,,0,-,x,688,86,43,21.5,NONE,0,0,0
END,,,,,,,,,704,88,44,22,,,,
"Structure:rt2Errors_t,file:rt2ErrorsDownlink.h",,,,,,,,,,,,,Module,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,,Module_num,Module_Line,Line_Type
ifdef RTIHU,,,,,,,,,,,,,,,,
,RTIHU2: Watchdog Tasks Ok,RT2wdReports,9,Unsigned,,0,-,x,704,88,44,22,IHU Reset Info,2,1,0
,Cause of Reset,RT2errorCode,5,Unsigned,,0,-,x,713,89.125,44.5625,22.28125,IHU Reset Info,2,2,0
,Task executing at reset,RT2taskNumber,4,Unsigned,,0,-,x,718,89.75,44.875,22.4375,IHU Reset Info,2,3,0
,Previous task before reset,RT2previousTask,4,Unsigned,,0,-,x,722,90.25,45.125,22.5625,IHU Reset Info,2,4,0
,Resets in a row that have been too soon,RT2earlyResetCount,3,Unsigned,,0,-,x,726,90.75,45.375,22.6875,IHU Reset Info,2,5,0
,Was this reset still early in boot,RT2wasStillEarlyInBoot,1,Unsigned,,STATUS_BOOLEAN,-,x,729,91.125,45.5625,22.78125,IHU Reset Info,2,6,0
,RTIHU2 Data Valid,RT2Valid,1,Unsigned,,STATUS_BOOLEAN,-,x,730,91.25,45.625,22.8125,General Info,1,3,0
,pad to 32 bits,pad374,5,Unsigned,,0,-,x,731,91.375,45.6875,22.84375,NONE,0,0,0
endif,,,,,,,,,736,92,46,23,,,,
ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,pad to 32 bits,pad377,5,Unsigned,,0,-,x,704,88,44,22,NONE,0,0,0
,RTIHU2 Data Valid,RT2Valid,1,Unsigned,,STATUS_BOOLEAN,-,x,709,88.625,44.3125,22.15625,General Info,1,3,0
,Was this reset still early in boot,RT2wasStillEarlyInBoot,1,Unsigned,,STATUS_BOOLEAN,-,x,710,88.75,44.375,22.1875,IHU Reset Info,2,21,0
,Resets in a row that have been too soon,RT2earlyResetCount,3,Unsigned,,INT,-,x,711,88.875,44.4375,22.21875,IHU Reset Info,2,20,0
,Previous task before reset,RT2previousTask,4,Unsigned,,GOLF_TASK_NAME,-,x,714,89.25,44.625,22.3125,IHU Reset Info,2,19,0
,Task executing at reset,RT2taskNumber,4,Unsigned,,GOLF_TASK_NAME,-,x,718,89.75,44.875,22.4375,IHU Reset Info,2,18,0
,Cause of Reset,RT2errorCode,5,Unsigned,,GOLF_RTIHU_ERR,-,x,722,90.25,45.125,22.5625,IHU Reset Info,2,16,0
,RTIHU2: Watchdog Tasks Ok,RT2wdReports,9,Unsigned,,INT,-,x,727,90.875,45.4375,22.71875,IHU Reset Info,2,15,0
endif,,,,,,,,,,,,,,,,
,Error Data,RT2errorData,32,Unsigned,,INT,-,x,736,92,46,23,IHU Reset Info,2,17,0
,Secondary SRAM Corrected Addr 1,RT2RAMCorAddr1,32,Unsigned,,INT,-,x,768,96,48,24,Secndry RT Errors,5,1,0
,Secondary SRAM Corrected Addr 2,RT2RAMCorAddr2,32,Unsigned,,INT,-,x,800,100,50,25,Secndry RT Errors,5,2,0
,Secondary Flash Corrected Addr 1,RT2ROMCorAddr1,32,unsigned,,INT,-,x,832,104,52,26,Secndry RT Errors,5,3,0
,Secondary Flash Corrected Addr 2,RT2ROMCorAddr2,32,Unsigned,,INT,-,x,864,108,54,27,Secndry RT Errors,5,4,0
,DCT2CmdFailCRC,DCT2CmdFailCRCCnt,8,Unsigned,,INT,-,x,896,112,56,28,Secndry RT Errors,5,5,0
,DCT2CmdFailTime,DCT2CmdFailTimeCnt,8,Unsigned,,INT,-,x,904,113,56.5,28.25,Secndry RT Errors,5,6,0
,DCT2CmdFailAuthenticate,DCT2CmdFailAuthenticateCnt,8,Unsigned,,INT,-,x,912,114,57,28.5,Secndry RT Errors,5,7,0
,DCT2CmdFailCommand,DCT2CmdFailCommandCnt,8,Unsigned,,INT,-,x,920,115,57.5,28.75,Secndry RT Errors,5,8,0
,DCT2CmdFailNamespace,DCT2CmdFailNamespaceCnt,8,Unsigned,,INT,-,x,928,116,58,29,Secndry RT Errors,5,9,0
,RT2I2C1Error,RT2I2C1ErrorCnt,8,Unsigned,,INT,-,x,936,117,58.5,29.25,Secndry RT Errors,5,10,0
,RT2I2C2Error,RT2I2C2ErrorCnt,8,Unsigned,,INT,-,x,944,118,59,29.5,Secndry RT Errors,5,11,0
,RT2I2C1Reset,RT2I2C1ResetCnt,8,Unsigned,,INT,-,x,952,119,59.5,29.75,Secndry RT Errors,5,12,0
,RT2I2C2Reset,RT2I2C2ResetCnt,8,Unsigned,,INT,-,x,960,120,60,30,Secndry RT Errors,5,13,0
,RT2 I2c1 Retry Count,RT2I2C1RetryCnt,8,Unsigned,,INT,-,x,968,121,60.5,30.25,Secndry RT Errors,5,14,0
,RT2 I2c2 Retry Count,RT2I2C2RetryCnt,8,Unsigned,,INT,-,x,976,122,61,30.5,Secndry RT Errors,5,15,0
,RT2SPIRetries,RT2SPIRetriesCnt,8,Unsigned,,INT,-,x,984,123,61.5,30.75,Secndry RT Errors,5,16,0
,RT2MramCRC,RT2MramCRCCnt,8,Unsigned,,INT,-,x,992,124,62,31,Secndry RT Errors,5,17,0
,RT2 MRAM Read Error Count,RT2MramRdErrorCnt,8,Unsigned,,INT,-,x,1000,125,62.5,31.25,Secndry RT Errors,5,18,0
,RT2 MRAM Write Error Count,RT2MramWtErrorCnt,8,Unsigned,,INT,-,x,1008,126,63,31.5,Secndry RT Errors,5,19,0
,RT2FlashCorrectable Count,RT2FlashCorCnt,8,Unsigned,,INT,-,x,1016,127,63.5,31.75,Secndry RT Errors,5,20,0
,RT2 Ram Even Bank Correctable Count,RT2RamEvenCorCnt,8,Unsigned,,INT,-,x,1024,128,64,32,Secndry RT Errors,5,21,0
,RT2 Ram Odd Bank Correctable Count,RT2RamOddCorCnt,8,Unsigned,,INT,-,x,1032,129,64.5,32.25,Secndry RT Errors,5,22,0
,RT2PLLSlip,RT2PLLSlipCnt,8,Unsigned,,INT,-,x,1040,130,65,32.5,Secndry RT Errors,5,23,0
,RT2ClockMonitorFail,RT2ClockMonitorFailCnt,8,Unsigned,,INT,-,x,1048,131,65.5,32.75,Secndry RT Errors,5,24,0
,RT2VIMRamParity,RT2VIMRamParityCnt,8,Unsigned,,INT,-,x,1056,132,66,33,Secndry RT Errors,5,25,0
,RT2CAN1RamParity,RT2CAN1RamParityCnt,8,Unsigned,,INT,-,x,1064,133,66.5,33.25,Secndry RT Errors,5,26,0
,RT2CAN2RamParity,RT2CAN2RamParityCnt,8,Unsigned,,INT,-,x,1072,134,67,33.5,Secndry RT Errors,5,27,0
,RT2DCC1Error,RT2DCC1ErrorCnt,8,Unsigned,,INT,-,x,1080,135,67.5,33.75,Secndry RT Errors,5,28,0
,RT2DCC2Error,RT2DCC2ErrorCnt,8,Unsigned,,INT,-,x,1088,136,68,34,Secndry RT Errors,5,29,0
,RT2N2HET2RamParity,RT2N2HET2RamParityCnt,8,Unsigned,,INT,-,x,1096,137,68.5,34.25,Secndry RT Errors,5,30,0
,RT2IOMMAccvio,RT2IOMMAccvioCnt,8,Unsigned,,INT,-,x,1104,138,69,34.5,Secndry RT Errors,5,31,0
,Non-fatal error count,RT2NonFatalCnt,8,Unsigned,,INT,-,x,1112,139,69.5,34.75,Secndry RT Errors,5,32,0
,RTIHU2 Version Number,RT2SWVersion,16,Unsigned,uint8_t,INT,-,x,1120,140,70,35,General Info,1,17,0
,Fill to 32-bits,pad420,16,Unisgned,,0,-,x,1136,142,71,35.5,NONE,0,0,0
END,,,,,,,,,1152,144,72,36,,,,
"Structure:ADCSLogData_t, file:ADCSLogDataDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Data,data,5168,Unsigned,uint8_t,0,-,Opaque data from radiation experiment,0,0,0,0,NONE,0,0,0
END,,,,,,,,Totals:,5168,646,323,161.5,,,,
"Structure:ADCSLog_t, file:ADCSLogDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,LogType,WODTimestampReset,16,Unsigned,uint16_t,1,-,ADCS Log Type,5168,646,323,161.5,ADCSLog,1,1,0
,LogFrameNumber,WODTimestampUptime,32,Unsigned,,1,-,Log Frame Number,5184,648,324,162,ADCSLog,1,2,0
END,,,,,,,,Totals:,5216,652,326,163,,,,
